IDA ID	IDA Text	Unique Proteins	Representative Accession	Representative Length	Representative Domains
6474222de05ff19efebd60ce3ccd409218b1b9b3	PF00772:IPR007693-PF03796:IPR007694-PF14890-PF14528:IPR004860	50	H5UT08	799	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[27-128],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[203-794],PF14890{Intein_splicing}[412-738],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[542-619]
cf6b604d60bbd97ebfcfd1217b3607f74211303a	PF00772:IPR007693-PF03796:IPR007694-PF14890-PF14528:IPR004860-PF03796:IPR007694-PF14890	48	Q115S2	2605	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[7-107],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[181-216],PF14890{Intein_splicing}[220-2198],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[344-453],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[2199-2599],PF14890{Intein_splicing}[2374-2543]
c72be681449f787c8418e079f787a8dbf85dadd8	PF00772:IPR007693-PF03796:IPR007694-PF05203:IPR007868-PF14528:IPR004860-PF03796:IPR007694	41	Q2S6J9	850	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[24-125],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[199-231],PF05203{Hom_end_hint}:IPR007868{Hom_end_hint}[231-303],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[445-509],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[575-808]
75b940e56a27c744bcc6cbbf0fbc189aeec2a00f	PF00772:IPR007693-PF03796:IPR007694-PF14890-PF03796:IPR007694	39	G8WX01	718	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[73-174],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[248-281],PF14890{Intein_splicing}[321-488],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[489-712]
e3c10c7654ba2ad1bad5a2ba6c4b1ab344d92ba1	PF03796:IPR007694-PF14890-PF14528:IPR004860-PF03796:IPR007694	38	A0A0A0JZH1	633	PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[1-149],PF14890{Intein_splicing}[158-573],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[361-444],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[574-626]
d37fb0e24e21d4f3d01d4cc287d09293abf8abe8	PF14890-PF03796:IPR007694	37	K2EVN6	187	PF14890{Intein_splicing}[39-127],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[128-183]
76b9f3abd97c9078403729942abb62f12bea5a35	PF14528:IPR004860-PF03796:IPR007694	32	Q9F5P4	576	PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[217-281],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[351-573]
94fc4830965309c3e3f6f2fc7b2e6f2ae711fa2b	PF00772:IPR007693-PF03796:IPR007694-PF05204:IPR007869-PF03796:IPR007694	32	M7MYQ9	868	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[21-122],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[196-228],PF05204{Hom_end}:IPR007869{Homing_endonuc_PI-Sce}[498-591],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[639-861]
5c76c91a812f944bdb610b4df5205a5def0f808c	PF00772:IPR007693-PF03796:IPR007694-PF03796:IPR007694-PF14890-PF14528:IPR004860	30	M2Z3W0	1066	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[23-125],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[201-236],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[506-1061],PF14890{Intein_splicing}[684-1006],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[809-887]
4cd3787674b3ecf419f6e5956c8d0e42d1430164	PF08275:IPR013264-PF13155-PF03796:IPR007694	24	F8FAR1	507	PF08275{DNAG_N}:IPR013264{DNAG_N}[65-101],PF13155{Toprim_2}[125-207],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[258-504]
5f771ceba922bab691a6201fc6b38f378c1490c7	PF14890-PF14528:IPR004860-PF03796:IPR007694	23	A0A0G0KBY8	445	PF14890{Intein_splicing}[3-379],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[170-250],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[380-434]
6be31394fe1e3a3cb4cf5a61783f64c854445974	PF01751:IPR006171-PF03796:IPR007694	23	F3PEV2	684	PF01751{Toprim}:IPR006171{TOPRIM_dom}[271-341],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[414-576]
f2891097e482c947ed745f447272c986c332e861	PF13362:IPR006171-PF03796:IPR007694	23	A0A098BJL9	551	PF13362{Toprim_3}:IPR006171{TOPRIM_dom}[126-211],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[308-546]
3fcf075f5910f92c36abfb47d362a9da6af76ec8	PF22548:IPR054347-PF03796:IPR007694	21	A0A0D6AKP8	1001	PF22548{AEP-TOTE}:IPR054347{TOTE_primase}[42-218],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[680-985]
05a04de1cad81b10c17365c25b0ee122bb54ed17	PF14528:IPR004860-PF14890-PF03796:IPR007694	20	A0A2H0MP23	291	PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[13-97],PF14890{Intein_splicing}[122-227],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[228-283]
6fe3149a33799887e02f0be3476621eaa24f123d	PF00772:IPR007693-PF03796:IPR007694-PF03796:IPR007694-PF14890	20	G7GKZ5	912	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[2-92],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[168-200],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[476-907],PF14890{Intein_splicing}[653-852]
28d3a418431d212ffa54aaf0a216c9330fcf69f2	PF00772:IPR007693-PF03796:IPR007694-PF14890-PF01381:IPR001387-PF14528:IPR004860-PF03796:IPR007694	19	Q4CA79	941	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[8-108],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[182-214],PF14890{Intein_splicing}[221-709],PF01381{HTH_3}:IPR001387{Cro/C1-type_HTH}[398-452],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[499-582],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[710-932]
5c97a433fccdb8250754318f75250406bf722552	PF06745:IPR014774-PF03796:IPR007694	19	A0A1E8VUA5	315	PF06745{ATPase}:IPR014774{KaiC-like_dom}[32-96],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[161-311]
69dea624c8a652861a7d974bc821ebaa516036f4	PF00772:IPR007693-PF03796:IPR007694-PF14890-PF13560-PF14528:IPR004860-PF03796:IPR007694	19	A0A091B7H1	973	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[36-137],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[214-246],PF14890{Intein_splicing}[253-740],PF13560{HTH_31}[426-482],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[530-614],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[741-963]
ab49fe442cd509872df5e4469e07383d6b16e468	PF01807:IPR002694-PF03796:IPR007694	18	K0NCV8	571	PF01807{zf-CHC2}:IPR002694{Znf_CHC2}[33-95],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[380-431]
3283d622b8714a22836ce01f3f4c7b2acfde3a77	PF08708:IPR014820-PF03796:IPR007694	16	A0A0W8G111	622	PF08708{PriCT_1}:IPR014820{PriCT_1}[246-298],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[337-592]
3482edd672722cf1f240fde4770f4d55077c4c59	PF08273:IPR013237-PF13155-PF03796:IPR007694	16	M1PRZ4	533	PF08273{Prim_Zn_Ribbon}:IPR013237{Phage_T7_Gp4_N}[16-44],PF13155{Toprim_2}[139-228],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[274-518]
512826c3c8f533c49de3ccc594da2b1ddeec20e9	PF13676:IPR000157-PF03796:IPR007694	16	A0A0F9R300	447	PF13676{TIR_2}:IPR000157{TIR_dom}[8-116],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[190-445]
4047c5a2e5b96982754b7bf985a7e5fe1985ffd9	PF00772:IPR007693-PF03796:IPR007694-PF14528:IPR004860-PF03796:IPR007694-PF14890-PF14528:IPR004860	15	H0JMQ9	1035	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[2-97],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[173-205],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[359-403],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[461-1030],PF14890{Intein_splicing}[653-975],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[784-856]
aca8817d999dfc276598123915e83de0e1e88c53	PF00772:IPR007693-PF03796:IPR007694-PF14528:IPR004860	15	A0A1Q7IUM2	676	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[13-114],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[193-392],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[598-672]
4daedcb0aac305d68dce67bbc14c097946fa7030	PF09250:IPR015330-PF03796:IPR007694	13	A0A1V6CM03	831	PF09250{Prim-Pol}:IPR015330{DNA_primase/pol_bifunc_N}[9-173],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[550-822]
ded43edef684b3c0b3c69be2b966db3621f95084	PF09250:IPR015330-PF08708:IPR014820-PF03796:IPR007694	12	A0A1F3AHI1	517	PF09250{Prim-Pol}:IPR015330{DNA_primase/pol_bifunc_N}[8-155],PF08708{PriCT_1}:IPR014820{PriCT_1}[180-241],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[273-514]
0fc9f8c1cd16240ac56553da9a9d18ba859cd988	PF01807:IPR002694-PF08275:IPR013264-PF13155-PF03796:IPR007694	11	G0VSD5	659	PF01807{zf-CHC2}:IPR002694{Znf_CHC2}[6-97],PF08275{DNAG_N}:IPR013264{DNAG_N}[149-198],PF13155{Toprim_2}[206-296],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[399-639]
b8672d31af16276a0425a0173e4ec66433e7413f	PF03796:IPR007694-PF07859:IPR013094-PF07859:IPR013094	11	A0A0V0RT94	991	PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[321-547],PF07859{Abhydrolase_3}:IPR013094{AB_hydrolase_3}[693-844],PF07859{Abhydrolase_3}:IPR013094{AB_hydrolase_3}[902-966]
0f1835021ea4f1b311d263ed8007216e76552bbb	PF01807:IPR002694-PF08275:IPR013264-PF13155-PF00772:IPR007693-PF03796:IPR007694	9	A0A1M6N9A2	848	PF01807{zf-CHC2}:IPR002694{Znf_CHC2}[4-96],PF08275{DNAG_N}:IPR013264{DNAG_N}[157-206],PF13155{Toprim_2}[216-312],PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[399-497],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[573-834]
8362790de38774e5798b3af05bfa1dedf7e995b9	PF00772:IPR007693-PF03796:IPR007694-PF05203:IPR007868-PF03796:IPR007694	9	A0A2T2V793	859	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[46-147],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[221-253],PF05203{Hom_end_hint}:IPR007868{Hom_end_hint}[253-324],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[581-812]
dcb6dddefd76a503760d8cf807f0691a22a77394	PF18073:IPR041166-PF03796:IPR007694	9	A0A1F6IWE7	491	PF18073{Rubredoxin_2}:IPR041166{Rubredoxin_2}[6-33],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[67-259]
0df8dd6f224e6b4accd6d379a7dc5c726b39e831	PF03796:IPR007694-PF14890-PF14528:IPR004860	8	V9XF00	540	PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[1-535],PF14890{Intein_splicing}[158-480],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[288-361]
ac08961a0cf5a6a907d907e691a3becc58356842	PF18073:IPR041166-PF03796:IPR007694-PF05362:IPR008269	8	A0A086ZL48	516	PF18073{Rubredoxin_2}:IPR041166{Rubredoxin_2}[8-35],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[83-269],PF05362{Lon_C}:IPR008269{Lon_proteolytic}[412-487]
36a259236054281bdf6d58a5e3bfa50fed94e533	PF00772:IPR007693-PF14528:IPR004860-PF03796:IPR007694	7	A0A2L0ILY0	784	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[7-89],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[405-454],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[540-751]
0e5b21c7f8f320fd93ffe17ef90fe4c8e1cb45e4	PF08800:IPR014907-PF03796:IPR007694	6	A0A2D9CGI8	603	PF08800{BT4734-like_N}:IPR014907{BT4734-like_N}[46-158],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[313-548]
0cd591b10f0f405c77180c65f4452b768d2d98d1	PF00772:IPR007693-PF03796:IPR007694-PF14890-PF14528:IPR004860-PF03796:IPR007694-PF14890-PF03796:IPR007694	5	H1FZZ4	1147	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[20-121],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[198-233],PF14890{Intein_splicing}[246-730],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[515-598],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[731-897],PF14890{Intein_splicing}[904-1078],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[1079-1136]
af7003a821c769eb9ffa4602bb914b62c80aa396	PF00772:IPR007693-PF03796:IPR007694-PF14890-PF01381:IPR001387-PF14528:IPR004860-PF03796:IPR007694-PF14890-PF14528:IPR004860-PF03796:IPR007694	5	Q0AB46	1381	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[17-118],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[195-230],PF14890{Intein_splicing}[240-727],PF01381{HTH_3}:IPR001387{Cro/C1-type_HTH}[412-459],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[511-595],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[728-893],PF14890{Intein_splicing}[901-1310],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[1099-1181],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[1311-1368]
b93b91457f9cfc037647da763e20f02fae51ab3f	PF18073:IPR041166-PF03796:IPR007694-PF13541	5	M1R7Q0	446	PF18073{Rubredoxin_2}:IPR041166{Rubredoxin_2}[8-35],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[66-177],PF13541{ChlI}[344-420]
bde34ccd710bd8ac77a2e3a8cbc831134794885f	PF00772:IPR007693-PF03796:IPR007694-PF14528:IPR004860-PF03796:IPR007694-PF14890	5	A0A0Q7JTW9	1196	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[26-127],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[202-234],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[514-555],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[646-1191],PF14890{Intein_splicing}[824-1136]
e92b23d8ec15b6819f9f37b7ecfd69f0f3abf814	PF00772:IPR007693-PF03796:IPR007694-PF14890-PF03796:IPR007694-PF14890	5	A0A7V9RR95	949	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[22-123],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[201-236],PF14890{Intein_splicing}[246-439],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[440-943],PF14890{Intein_splicing}[617-888]
16d8f094092009c54ab9831c7f715be1f59737a0	PF13662:IPR006171-PF03796:IPR007694-PF03765:IPR011074-PF00650:IPR001251	4	A0A7G2DWY6	1280	PF13662{Toprim_4}:IPR006171{TOPRIM_dom}[262-349],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[401-655],PF03765{CRAL_TRIO_N}:IPR011074{CRAL/TRIO_N_dom}[932-983],PF00650{CRAL_TRIO}:IPR001251{CRAL-TRIO_dom}[1008-1162]
16f103f31688031d9343a09d098972e66c7486ac	PF03796:IPR007694-PF08800:IPR014907-PF08707:IPR014819	4	A0A5J4R741	635	PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[43-253],PF08800{BT4734-like_N}:IPR014907{BT4734-like_N}[392-504],PF08707{PriCT_2}:IPR014819{PriCT_2}[557-626]
1e64960ccd612e2f508dac69cc6c289eb0f6be0d	PF01541:IPR000305-PF03796:IPR007694	4	A0A2K2TXW6	392	PF01541{GIY-YIG}:IPR000305{GIY-YIG_endonuc}[10-84],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[144-368]
1f1338a79bf4c8173be2bba956aa089d48287380	PF00772:IPR007693-PF03796:IPR007694-PF05203:IPR007868-PF05204:IPR007869-PF03796:IPR007694-PF14890-PF14528:IPR004860-PF03796:IPR007694	4	A0A431TXW0	1300	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[33-134],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[208-240],PF05203{Hom_end_hint}:IPR007868{Hom_end_hint}[240-311],PF05204{Hom_end}:IPR007869{Homing_endonuc_PI-Sce}[440-524],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[580-752],PF14890{Intein_splicing}[761-1173],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[959-1043],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[1174-1236]
2e38b5c6f703f0775f8f5d00884a12f42bdf1065	PF01807:IPR002694-PF13362:IPR006171-PF03796:IPR007694	4	A0A3B9JI11	605	PF01807{zf-CHC2}:IPR002694{Znf_CHC2}[5-91],PF13362{Toprim_3}:IPR006171{TOPRIM_dom}[190-264],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[321-591]
